action_id,risk_id,report_month,action,owner,due_date,status
A0109,R031,2026-02,Bring forward long-lead procurement decision,Resourcing Manager,2026-03-15,Complete
A0110,R031,2026-03,Backfill role with contract resource,Resourcing Manager,2026-05-05,Complete
A0111,R031,2026-04,Commission independent technical review,Resourcing Manager,2026-06-02,Open
A0112,R031,2026-05,Raise formal query with regulator/consultee,Resourcing Manager,2026-06-28,Complete
A0113,R032,2026-01,Escalate to supplier/contractor governance board,Resourcing Manager,2026-03-10,Open
A0114,R032,2026-02,Agree revised delivery milestone with contingency,Resourcing Manager,2026-03-25,Open
A0115,R032,2026-02,Agree revised delivery milestone with contingency,Resourcing Manager,2026-04-03,Open
A0116,R032,2026-04,Raise formal query with regulator/consultee,Resourcing Manager,2026-05-25,Complete
A0117,R032,2026-05,Agree revised delivery milestone with contingency,Resourcing Manager,2026-06-18,Complete
A0118,R032,2026-05,Increase inspection and audit frequency,Resourcing Manager,2026-07-01,Complete
A0119,R032,2026-06,Escalate to supplier/contractor governance board,Resourcing Manager,2026-07-23,Overdue
A0120,R033,2026-03,Raise formal query with regulator/consultee,HSE Manager,2026-05-14,Complete
A0121,R033,2026-04,Backfill role with contract resource,HSE Manager,2026-05-19,Open
A0122,R033,2026-05,Secure alternative source or dual-sourcing option,HSE Manager,2026-07-13,Complete
A0123,R033,2026-06,Escalate to supplier/contractor governance board,HSE Manager,2026-08-12,Complete
A0124,R035,2026-01,Secure alternative source or dual-sourcing option,HSE Manager,2026-02-15,Complete
A0125,R035,2026-02,Update risk-adjusted cost and schedule baseline,HSE Manager,2026-03-15,Open
A0126,R036,2026-01,Update risk-adjusted cost and schedule baseline,HSE Manager,2026-02-25,Open
A0127,R036,2026-05,Agree revised delivery milestone with contingency,HSE Manager,2026-06-07,Complete
A0128,R037,2026-04,Implement additional site control / toolbox talk,HSE Manager,2026-06-06,Complete
A0129,R037,2026-05,Backfill role with contract resource,HSE Manager,2026-06-21,Complete
A0130,R037,2026-05,Agree revised delivery milestone with contingency,HSE Manager,2026-06-26,Complete
A0131,R037,2026-06,Agree revised delivery milestone with contingency,HSE Manager,2026-07-26,Complete
