risk_id,report_month,review_date,status,residual_probability,residual_impact,residual_score,inherent_score,days_open
R009,2026-05,2026-05-31,Open,3,3,9,16,250
R009,2026-06,2026-06-30,Open,3,2,6,16,280
R010,2026-01,2026-01-31,Open,3,5,15,15,112
R010,2026-02,2026-02-28,Open,3,5,15,15,140
R010,2026-03,2026-03-31,Open,2,4,8,15,171
R010,2026-04,2026-04-30,Open,1,3,3,15,201
R010,2026-05,2026-05-31,Open,1,3,3,15,232
R010,2026-06,2026-06-30,Open,1,2,2,15,262
R011,2026-01,2026-01-31,Open,5,2,10,4,54
R011,2026-02,2026-02-28,Open,5,2,10,4,82
R011,2026-03,2026-03-31,Open,5,3,15,4,113
R011,2026-04,2026-04-30,Open,5,4,20,4,143
R011,2026-05,2026-05-31,Open,5,4,20,4,174
R011,2026-06,2026-06-30,Open,5,4,20,4,204
R012,2026-01,2026-01-31,Open,5,5,25,25,4
R012,2026-02,2026-02-28,Open,5,5,25,25,32
R012,2026-03,2026-03-31,Open,5,5,25,25,63
R012,2026-04,2026-04-30,Open,5,5,25,25,93
R012,2026-05,2026-05-31,Open,4,4,16,25,124
R012,2026-06,2026-06-30,Open,3,4,12,25,154
R013,2026-03,2026-03-31,Open,4,4,16,12,17
R013,2026-04,2026-04-30,Open,4,4,16,12,47
R013,2026-05,2026-05-31,Open,4,5,20,12,78
R013,2026-06,2026-06-30,Open,5,5,25,12,108
R014,2026-01,2026-01-31,Open,3,3,9,9,69
R014,2026-02,2026-02-28,Open,3,3,9,9,97
R014,2026-03,2026-03-31,Open,3,3,9,9,128
R014,2026-04,2026-04-30,Open,3,3,9,9,158
R014,2026-05,2026-05-31,Open,3,3,9,9,189
R014,2026-06,2026-06-30,Open,3,3,9,9,219
R015,2026-01,2026-01-31,Open,4,2,8,8,116
R015,2026-02,2026-02-28,Open,4,2,8,8,144
R015,2026-03,2026-03-31,Open,4,2,8,8,175
R015,2026-04,2026-04-30,Open,4,2,8,8,205
R015,2026-05,2026-05-31,Open,4,2,8,8,236
R015,2026-06,2026-06-30,Open,4,2,8,8,266
R016,2026-01,2026-01-31,Open,2,2,4,9,69
R016,2026-02,2026-02-28,Open,2,2,4,9,97
R016,2026-03,2026-03-31,Closed,2,2,4,9,128
R016,2026-04,2026-04-30,Closed,2,2,4,9,158
R016,2026-05,2026-05-31,Closed,2,2,4,9,189
R016,2026-06,2026-06-30,Closed,2,2,4,9,219
R017,2026-02,2026-02-28,Open,4,4,16,16,14
R017,2026-03,2026-03-31,Open,4,4,16,16,45
R017,2026-04,2026-04-30,Open,4,4,16,16,75
R017,2026-05,2026-05-31,Open,4,4,16,16,106
R017,2026-06,2026-06-30,Open,4,4,16,16,136
R018,2026-01,2026-01-31,Open,4,3,12,12,136
R018,2026-02,2026-02-28,Open,3,2,6,12,164
R018,2026-03,2026-03-31,Open,4,1,4,12,195
R018,2026-04,2026-04-30,Open,3,1,3,12,225
R018,2026-05,2026-05-31,Open,2,1,2,12,256
R018,2026-06,2026-06-30,Open,3,1,3,12,286
R019,2026-01,2026-01-31,Open,4,4,16,20,44
R019,2026-02,2026-02-28,Open,3,4,12,20,72
R019,2026-03,2026-03-31,Open,3,4,12,20,103
R019,2026-04,2026-04-30,Open,2,4,8,20,133
R019,2026-05,2026-05-31,Open,2,4,8,20,164
R019,2026-06,2026-06-30,Open,2,3,6,20,194
R020,2026-01,2026-01-31,Open,4,3,12,12,44
R020,2026-02,2026-02-28,Open,4,3,12,12,72
R020,2026-03,2026-03-31,Open,4,3,12,12,103
R020,2026-04,2026-04-30,Open,4,3,12,12,133
R020,2026-05,2026-05-31,Open,4,3,12,12,164
R020,2026-06,2026-06-30,Open,4,3,12,12,194
R021,2026-01,2026-01-31,Open,2,2,4,9,79
R021,2026-02,2026-02-28,Open,2,2,4,9,107
R021,2026-03,2026-03-31,Open,1,2,2,9,138
R021,2026-04,2026-04-30,Open,1,2,2,9,168
R021,2026-05,2026-05-31,Open,1,2,2,9,199
R021,2026-06,2026-06-30,Open,1,2,2,9,229
R022,2026-04,2026-04-30,Open,4,2,8,15,22
R022,2026-05,2026-05-31,Open,3,3,9,15,53
R022,2026-06,2026-06-30,Open,3,4,12,15,83
R023,2026-01,2026-01-31,Open,4,2,8,6,82
R023,2026-02,2026-02-28,Open,4,2,8,6,110
R023,2026-03,2026-03-31,Open,4,2,8,6,141
R023,2026-04,2026-04-30,Open,4,3,12,6,171
R023,2026-05,2026-05-31,Open,5,4,20,6,202
R023,2026-06,2026-06-30,Open,5,4,20,6,232
R024,2026-01,2026-01-31,Open,2,2,4,4,96
R024,2026-02,2026-02-28,Open,2,2,4,4,124
R024,2026-03,2026-03-31,Open,2,2,4,4,155
R024,2026-04,2026-04-30,Open,2,2,4,4,185
R024,2026-05,2026-05-31,Open,2,2,4,4,216
R024,2026-06,2026-06-30,Open,2,2,4,4,246
R025,2026-01,2026-01-31,Open,3,4,12,12,120
R025,2026-02,2026-02-28,Open,3,4,12,12,148
R025,2026-03,2026-03-31,Open,3,4,12,12,179
R025,2026-04,2026-04-30,Open,3,4,12,12,209
R025,2026-05,2026-05-31,Open,3,4,12,12,240
R025,2026-06,2026-06-30,Open,3,4,12,12,270
R026,2026-05,2026-05-31,Open,2,4,8,12,2
R026,2026-06,2026-06-30,Open,2,4,8,12,32
R027,2026-01,2026-01-31,Open,3,4,12,16,94
R027,2026-02,2026-02-28,Open,2,4,8,16,122
R027,2026-03,2026-03-31,Open,1,4,4,16,153
R027,2026-04,2026-04-30,Open,1,4,4,16,183
R027,2026-05,2026-05-31,Open,1,4,4,16,214
R027,2026-06,2026-06-30,Open,1,4,4,16,244
R028,2026-02,2026-02-28,Open,1,3,3,6,6
R028,2026-03,2026-03-31,Open,1,2,2,6,37
R028,2026-04,2026-04-30,Open,1,2,2,6,67
R028,2026-05,2026-05-31,Open,1,2,2,6,98
R028,2026-06,2026-06-30,Open,1,1,1,6,128
R029,2026-01,2026-01-31,Open,5,5,25,25,151
R029,2026-02,2026-02-28,Open,4,4,16,25,179
R029,2026-03,2026-03-31,Open,4,4,16,25,210
R029,2026-04,2026-04-30,Open,4,4,16,25,240
R029,2026-05,2026-05-31,Open,3,4,12,25,271
R029,2026-06,2026-06-30,Open,3,3,9,25,301
R030,2026-05,2026-05-31,Open,3,4,12,16,16
R030,2026-06,2026-06-30,Open,2,4,8,16,46
R031,2026-01,2026-01-31,Open,4,4,16,16,0
R031,2026-02,2026-02-28,Open,4,4,16,16,28
R031,2026-03,2026-03-31,Open,4,4,16,16,59
R031,2026-04,2026-04-30,Open,4,4,16,16,89
R031,2026-05,2026-05-31,Open,4,4,16,16,120
R031,2026-06,2026-06-30,Open,4,4,16,16,150
R032,2026-01,2026-01-31,Open,4,3,12,6,74
R032,2026-02,2026-02-28,Open,5,2,10,6,102
R032,2026-03,2026-03-31,Open,5,1,5,6,133
R032,2026-04,2026-04-30,Open,4,1,4,6,163
R032,2026-05,2026-05-31,Open,3,1,3,6,194
R032,2026-06,2026-06-30,Open,3,2,6,6,224
R033,2026-02,2026-02-28,Open,3,2,6,6,15
R033,2026-03,2026-03-31,Open,2,1,2,6,46
R033,2026-04,2026-04-30,Open,3,1,3,6,76
R033,2026-05,2026-05-31,Open,2,1,2,6,107
R033,2026-06,2026-06-30,Open,1,2,2,6,137
R034,2026-02,2026-02-28,Open,3,3,9,6,23
R034,2026-03,2026-03-31,Open,3,2,6,6,54
R034,2026-04,2026-04-30,Open,3,1,3,6,84
R034,2026-05,2026-05-31,Open,4,1,4,6,115
R034,2026-06,2026-06-30,Open,5,2,10,6,145
R035,2026-01,2026-01-31,Open,4,4,16,16,109
R035,2026-02,2026-02-28,Open,4,3,12,16,137
R035,2026-03,2026-03-31,Closed,4,3,12,16,168
R035,2026-04,2026-04-30,Closed,4,3,12,16,198
R035,2026-05,2026-05-31,Closed,4,3,12,16,229
R035,2026-06,2026-06-30,Closed,4,3,12,16,259
R036,2026-01,2026-01-31,Open,4,5,20,20,87
R036,2026-02,2026-02-28,Open,4,5,20,20,115
R036,2026-03,2026-03-31,Open,4,5,20,20,146
R036,2026-04,2026-04-30,Open,5,5,25,20,176
R036,2026-05,2026-05-31,Open,5,5,25,20,207
R036,2026-06,2026-06-30,Open,5,5,25,20,237
R037,2026-01,2026-01-31,Open,3,4,12,12,17
R037,2026-02,2026-02-28,Open,3,4,12,12,45
R037,2026-03,2026-03-31,Open,3,4,12,12,76
R037,2026-04,2026-04-30,Open,3,4,12,12,106
R037,2026-05,2026-05-31,Open,3,4,12,12,137
R037,2026-06,2026-06-30,Open,3,4,12,12,167
